"LogD","All_fragments","Counts","All_fragments_h","AMW","SMILES_H"
1.733,"*C/C=C/C",2,"C/C=C/C",56.108000000000004,"[H]/C(=C(/[H])C([H])([H])[H])C([H])([H])[H]"
-1.397,"*NCCCN(C[C@H]1O[C@@H](*)[C@H](O)[C@@H]1O)C(C)C",2,"CC(C)N(CCCN)C[C@H]1OC[C@H](O)[C@@H]1O",232.324,"[H]O[C@@]1([H])[C@@]([H])(O[H])C([H])([H])O[C@]1([H])C([H])([H])N(C([H])([H])C([H])([H])C([H])([H])N([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H]"
2.779,"*Nc1ccc(C(C)(C)C)cc1",2,"CC(C)(C)c1ccc(N)cc1",149.237,"[H]c1c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c1N([H])[H]"
2.35,"*C(=O)c1cccc(-n2cccc2)c1",2,"O=Cc1cccc(-n2cccc2)c1",171.199,"[H]C(=O)c1c([H])c([H])c([H])c(-n2c([H])c([H])c([H])c2[H])c1[H]"
-1.052,"*CC(=O)NCC(*)=O",2,"CC(=O)NCC=O",101.10499999999999,"[H]C(=O)C([H])([H])N([H])C(=O)C([H])([H])[H]"
-1.8,"*NCC(*)=O",2,"NCC=O",59.068,"[H]C(=O)C([H])([H])N([H])[H]"
-1.107,"*N1CCN(*)CC1",2,"C1CNCCN1",86.138,"[H]N1C([H])([H])C([H])([H])N([H])C([H])([H])C1([H])[H]"
1.216,"*CCCCCC(=O)O",1,"CCCCCC(=O)O",116.15999999999998,"[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]"
2.869,"*c1ccc(Cl)c(C(=O)OCC=C)c1",1,"C=CCOC(=O)c1ccccc1Cl",196.63299999999998,"[H]C([H])=C([H])C([H])([H])OC(=O)c1c([H])c([H])c([H])c([H])c1Cl"
0.907,"*S(=O)(=O)c1ccc(C)cc1",1,"Cc1ccc([SH](=O)=O)cc1",156.20600000000002,"[H]c1c([H])c(S([H])(=O)=O)c([H])c([H])c1C([H])([H])[H]"
