"LogD","All_fragments","Counts","All_fragments_h","AMW","SMILES_H"
2.195,"*CC=CCC#CC#C",2,"C#CC#CCC=CC",104.15199999999997,"[H]C#CC#CC([H])([H])C([H])=C([H])C([H])([H])[H]"
-0.95,"*C(O)=NO",2,"OC=NO",61.040000000000006,"[H]ON=C([H])O[H]"
1.546,"*C(=O)C1C=CC(C(=C)C)CC1",2,"C=C(C)C1C=CC(C=O)CC1",150.22099999999995,"[H]C(=O)C1([H])C([H])=C([H])C([H])(C(=C([H])[H])C([H])([H])[H])C([H])([H])C1([H])[H]"
2.406,"*c1ccc(O)c(I)c1",2,"Oc1ccccc1I",220.009,"[H]Oc1c([H])c([H])c([H])c([H])c1I"
-0.706,"*CC(=N)C(=O)O",2,"CC(=N)C(=O)O",87.07799999999999,"[H]N=C(C(=O)O[H])C([H])([H])[H]"
0.114,"*CCOCC(OCCO)C1OCC(*)C1*",2,"CCOCC(OCCO)C1CCCO1",204.26599999999996,"[H]OC([H])([H])C([H])([H])OC([H])(C([H])([H])OC([H])([H])C([H])([H])[H])C1([H])OC([H])([H])C([H])([H])C1([H])[H]"
0.188,"*C(=O)c1cc(CC=NC(C(=O)O)C(C)C)cc(C(O)O)n1",1,"CC(C)C(N=CCc1cc(C=O)nc(C(O)O)c1)C(=O)O",294.307,"[H]OC(=O)C([H])(N=C([H])C([H])([H])c1c([H])c(C([H])=O)nc(C([H])(O[H])O[H])c1[H])C([H])(C([H])([H])[H])C([H])([H])[H]"
0.765,"*CCCC(O)c1ccc[n+]([O-])c1",1,"CCCC(O)c1ccc[n+]([O-])c1",167.20799999999997,"[H]OC([H])(c1c([H])c([H])c([H])[n+]([O-])c1[H])C([H])([H])C([H])([H])C([H])([H])[H]"
-0.656,"*C(=O)C(CSC(=O)NC)NC(C)=O",1,"CNC(=O)SCC(C=O)NC(C)=O",204.251,"[H]C(=O)C([H])(N([H])C(=O)C([H])([H])[H])C([H])([H])SC(=O)N([H])C([H])([H])[H]"
1.169,"*C(=O)C1CSSC1",1,"O=CC1CSSC1",134.225,"[H]C(=O)C1([H])C([H])([H])SSC1([H])[H]"
-1.886,"*C(=O)C1C[S+]([O-])CC(C)N1",1,"CC1C[S+]([O-])CC(C=O)N1",161.226,"[H]C(=O)C1([H])N([H])C([H])(C([H])([H])[H])C([H])([H])[S+]([O-])C1([H])[H]"
0.744,"*N=C(CC1CC1C)C(*)=O",1,"CC1CC1CC(=N)C=O",125.17099999999999,"[H]N=C(C([H])=O)C([H])([H])C1([H])C([H])([H])C1([H])C([H])([H])[H]"
0.267,"*C(=O)C1C2CCC(O2)C1C(=O)O",1,"O=CC1C2CCC(O2)C1C(=O)O",170.164,"[H]OC(=O)C1([H])C2([H])OC([H])(C([H])([H])C2([H])[H])C1([H])C([H])=O"
-0.767,"*C(=O)C=C(CCC(*)=O)C(*)=O",1,"O=CC=C(C=O)CCC=O",140.13799999999998,"[H]C(=O)C([H])=C(C([H])=O)C([H])([H])C([H])([H])C([H])=O"
0.141,"*C(=O)C=CC#CC#CC=CCO",1,"O=CC=CC#CC#CC=CCO",160.172,"[H]OC([H])([H])C([H])=C([H])C#CC#CC([H])=C([H])C([H])=O"
1.663,"*C(C#N)COC(=O)C=Cc1ccc(O)c(OC)c1",1,"COc1cc(C=CC(=O)OCCC#N)ccc1O",247.24999999999997,"[H]Oc1c([H])c([H])c(C([H])=C([H])C(=O)OC([H])([H])C([H])([H])C#N)c([H])c1OC([H])([H])[H]"
-1.334,"*C(=O)C(N)CC[S+](C)C",1,"C[S+](C)CCC(N)C=O",148.251,"[H]C(=O)C([H])(N([H])[H])C([H])([H])C([H])([H])[S+](C([H])([H])[H])C([H])([H])[H]"
-0.963,"*NN1CCCC1C(=O)O",1,"NN1CCCC1C(=O)O",130.147,"[H]OC(=O)C1([H])N(N([H])[H])C([H])([H])C([H])([H])C1([H])[H]"
0.34,"*C(=O)CCSSCCC(*)=O",1,"O=CCCSSCCC=O",178.27799999999996,"[H]C(=O)C([H])([H])C([H])([H])SSC([H])([H])C([H])([H])C([H])=O"
2.178,"*N=C(SC)SC",1,"CSC(=N)SC",121.22999999999999,"[H]N=C(SC([H])([H])[H])SC([H])([H])[H]"
