"LogD","All_fragments","Counts","All_fragments_h","AMW","SMILES_H"
2.003,"*C1COC(C=C(C)C)C1",1,"CC(C)=CC1CCCO1",126.199,"[H]C(=C(C([H])([H])[H])C([H])([H])[H])C1([H])OC([H])([H])C([H])([H])C1([H])[H]"
2.516,"*c1ccc(CN=C=S)cc1",1,"S=C=NCc1ccccc1",149.218,"[H]c1c([H])c([H])c(C([H])([H])N=C=S)c([H])c1[H]"
1.963,"*C(=O)c1ccc(Cl)cc1N",1,"Nc1cc(Cl)ccc1C=O",155.584,"[H]C(=O)c1c([H])c([H])c(Cl)c([H])c1N([H])[H]"
-0.799,"*C(=O)C=CC(=O)CCCC(=O)C(*)=O",1,"O=CC=CC(=O)CCCC(=O)C=O",182.175,"[H]C(=O)C(=O)C([H])([H])C([H])([H])C([H])([H])C(=O)C([H])=C([H])C([H])=O"
1.036,"*N1Cc2cc(OC)ccc2N(*)C1",1,"COc1ccc2c(c1)CNCN2",164.208,"[H]c1c([H])c2c(c([H])c1OC([H])([H])[H])C([H])([H])N([H])C([H])([H])N2[H]"
2.724,"*C1C2C(=C)CC34CC5C6C7(C)CC(O)CC6(C(C13)N5C7)C4C2*",1,"C=C1CC23CC4C5C6(C)CC(O)CC57C(C2CC1CC37)N4C6",297.442,"[H]OC1([H])C([H])([H])C2(C([H])([H])[H])C([H])([H])N3C4([H])C([H])([H])C56C([H])([H])C(=C([H])[H])C7([H])C([H])([H])C5([H])C3([H])C(C1([H])[H])(C42[H])C6([H])C7([H])[H]"
2.178,"*C1CCCC1",1,"C1CCCC1",70.135,"[H]C1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]"
2.68,"*CC#CC1CC1Cl",1,"CC#CC1CC1Cl",114.575,"[H]C([H])([H])C#CC1([H])C([H])([H])C1([H])Cl"
1.701,"*c1[nH]ccc1Cl",1,"Clc1cc[nH]c1",101.53599999999999,"[H]c1c(Cl)c([H])n([H])c1[H]"
1.919,"*c1ncc(-c2ccc(O)cc2)o1",1,"Oc1ccc(-c2cnco2)cc1",161.16,"[H]Oc1c([H])c([H])c(-c2oc([H])nc2[H])c([H])c1[H]"
-1.21,"*C(=O)C=NO",1,"O=CC=NO",73.05099999999999,"[H]ON=C([H])C([H])=O"
0.83,"*C1C=CC(=O)OCC1",1,"O=C1C=CCCCO1",112.12800000000001,"[H]C1=C([H])C([H])([H])C([H])([H])C([H])([H])OC1=O"
0.156,"*C(=O)C=CI",1,"O=CC=CI",181.96,"[H]C(=O)C([H])=C([H])I"
1.966,"*C1=C(C)C(=O)c2cccc(*)c2C1=O",1,"CC1=CC(=O)c2ccccc2C1=O",172.18299999999996,"[H]C1=C(C([H])([H])[H])C(=O)c2c([H])c([H])c([H])c([H])c2C1=O"
0.641,"*c1cnn2c1CCC2",1,"c1cc2n(n1)CCC2",108.14399999999999,"[H]c1nn2c(c1[H])C([H])([H])C([H])([H])C2([H])[H]"
-0.431,"*C1OCC(O)C(*)C1OC",1,"COC1COCC(O)C1",132.159,"[H]OC1([H])C([H])([H])OC([H])([H])C([H])(OC([H])([H])[H])C1([H])[H]"
1.748,"*C(Cl)C(Cl)=C(Cl)Cl",1,"ClCC(Cl)=C(Cl)Cl",179.86100000000002,"[H]C([H])(Cl)C(Cl)=C(Cl)Cl"
0.4,"*NC(CC(C)C)C(=O)C1(C)CO1",1,"CC(C)CC(N)C(=O)C1(C)CO1",171.23999999999998,"[H]N([H])C([H])(C(=O)C1(C([H])([H])[H])OC1([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H]"
-1.702,"*ON1CN(*)NON1",1,"ON1CNNON1",106.085,"[H]ON1N([H])ON([H])N([H])C1([H])[H]"
-0.728,"*CC(CC(*)=O)=C(*)C#N",1,"CC(=CC#N)CC=O",109.128,"[H]C(=O)C([H])([H])C(=C([H])C#N)C([H])([H])[H]"
-1.576,"*C(=O)C(=O)NC(N)=O",1,"NC(=O)NC(=O)C=O",116.07599999999998,"[H]C(=O)C(=O)N([H])C(=O)N([H])[H]"
1.444,"*C(=O)C1(C)CCC(C(C)C)C1C(=O)O",1,"CC(C)C1CCC(C)(C=O)C1C(=O)O",198.262,"[H]OC(=O)C1([H])C([H])(C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])C1(C([H])=O)C([H])([H])[H]"
1.642,"*C(=O)c1ccc(C(=O)OC)cc1",1,"COC(=O)c1ccc(C=O)cc1",164.16,"[H]C(=O)c1c([H])c([H])c(C(=O)OC([H])([H])[H])c([H])c1[H]"
2.948,"*CC(=O)CC(C)c1ccc(C)cc1",1,"CC(=O)CC(C)c1ccc(C)cc1",176.259,"[H]c1c([H])c(C([H])(C([H])([H])[H])C([H])([H])C(=O)C([H])([H])[H])c([H])c([H])c1C([H])([H])[H]"
1.547,"*C(=O)C(=Cc1ccc2c(c1)OCO2)C(*)C(*)=O",1,"O=CCC(C=O)=Cc1ccc2c(c1)OCO2",218.20799999999994,"[H]C(=O)C(=C([H])c1c([H])c([H])c2c(c1[H])OC([H])([H])O2)C([H])([H])C([H])=O"
0.935,"*C(Br)CC(=O)O",1,"O=C(O)CCBr",152.97500000000002,"[H]OC(=O)C([H])([H])C([H])([H])Br"
0.07,"*CCC(=O)Cl",1,"CCC(=O)Cl",92.525,"[H]C([H])([H])C([H])([H])C(=O)Cl"
1.342,"*C(=O)C(C)C(CC=CCC=C)C(=O)O",1,"C=CCC=CCC(C(=O)O)C(C)C=O",196.24599999999998,"[H]OC(=O)C([H])(C([H])([H])C([H])=C([H])C([H])([H])C([H])=C([H])[H])C([H])(C([H])=O)C([H])([H])[H]"
