"LogD","IDNUMBER","NEW_SMILES","AMW","SMILES_H"
2.073,"4482-3235","O=C1NN(c2ccccc2)C(=O)C1=Cc1cccc(F)c1",282.274,"[H]C(=C1C(=O)N([H])N(c2c([H])c([H])c([H])c([H])c2[H])C1=O)c1c([H])c([H])c([H])c(F)c1[H]"
2.989,"8015-5744","O=c1[nH]c2ccccc2cc1CNc1ccccc1",250.301,"[H]c1c([H])c([H])c(N([H])C([H])([H])c2c([H])c3c([H])c([H])c([H])c([H])c3n([H])c2=O)c([H])c1[H]"
2.773,"F474-3607","CCCNc1c(C(=O)OC)c(=O)[nH]c2c(Cl)cccc12",294.738,"[H]c1c([H])c(Cl)c2c(c1[H])c(N([H])C([H])([H])C([H])([H])C([H])([H])[H])c(C(=O)OC([H])([H])[H])c(=O)n2[H]"
0.81,"8012-5572","Cc1cc(C)n(-c2ccc(F)cc2)c(=O)c1C(=O)O",261.25199999999995,"[H]OC(=O)c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])n(-c2c([H])c([H])c(F)c([H])c2[H])c1=O"
1.705,"Y200-4261","Cc1c(NC(=O)CC(C)C)c(=O)n(-c2ccccc2)n1C",287.363,"[H]c1c([H])c([H])c(-n2c(=O)c(N([H])C(=O)C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])c(C([H])([H])[H])n2C([H])([H])[H])c([H])c1[H]"
0.631,"Y043-6198","O=C(CCn1cccc1)Nc1ccc2[nH]c(=O)c(=O)[nH]c2c1",298.302,"[H]c1c(N([H])C(=O)C([H])([H])C([H])([H])n2c([H])c([H])c([H])c2[H])c([H])c2c(c1[H])n([H])c(=O)c(=O)n2[H]"
2.968,"8012-0818","COc1ccc(NC(=O)C(C#N)=Cc2ccc(C)o2)cc1",282.29900000000004,"[H]C(=C(C#N)C(=O)N([H])c1c([H])c([H])c(OC([H])([H])[H])c([H])c1[H])c1oc(C([H])([H])[H])c([H])c1[H]"
1.864,"Y300-3668","O=C1CN(C(=O)Cc2ccc(F)cc2)c2ccccc2N1",284.29,"[H]c1c([H])c([H])c2c(c1[H])N([H])C(=O)C([H])([H])N2C(=O)C([H])([H])c1c([H])c([H])c(F)c([H])c1[H]"
2.363,"Y510-2955","N#CC(=Cc1cccnc1)C(=O)Nc1cccc([N+](=O)[O-])c1",294.27000000000004,"[H]C(=C(C#N)C(=O)N([H])c1c([H])c([H])c([H])c([N+](=O)[O-])c1[H])c1c([H])nc([H])c([H])c1[H]"
1.271,"0109-0091","COC(=O)c1ccc(C(=O)Nc2ccc(N)cc2N)cc1",285.303,"[H]c1c([H])c(C(=O)N([H])c2c([H])c([H])c(N([H])[H])c([H])c2N([H])[H])c([H])c([H])c1C(=O)OC([H])([H])[H]"
0.838,"Y040-5281","COC(=O)CNC(=O)c1cc(=O)[nH]c2ccccc12",260.249,"[H]c1c([H])c([H])c2c(c1[H])c(C(=O)N([H])C([H])([H])C(=O)OC([H])([H])[H])c([H])c(=O)n2[H]"
1.811,"Y032-3341","CCOCC(=O)Nc1ccc(OC)cc1[N+](=O)[O-]",254.242,"[H]c1c([H])c(N([H])C(=O)C([H])([H])OC([H])([H])C([H])([H])[H])c([N+](=O)[O-])c([H])c1OC([H])([H])[H]"
2.723,"J102-0141","O=C(Cn1nc2c(cc1=O)CCCCC2)Nc1ccccc1",297.35799999999995,"[H]c1c([H])c([H])c(N([H])C(=O)C([H])([H])n2nc3c(c([H])c2=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])c([H])c1[H]"
2.946,"1988-1279","O=C(CCOc1ccccc1)Nc1ccccc1[N+](=O)[O-]",286.28700000000003,"[H]c1c([H])c([H])c(OC([H])([H])C([H])([H])C(=O)N([H])c2c([H])c([H])c([H])c([H])c2[N+](=O)[O-])c([H])c1[H]"
2.058,"P029-0189","CC(=O)Nc1ccc(-c2nc(-c3ccc(=O)[nH]c3)no2)cc1",296.286,"[H]c1c([H])c(N([H])C(=O)C([H])([H])[H])c([H])c([H])c1-c1nc(-c2c([H])c([H])c(=O)n([H])c2[H])no1"
0.902,"K844-1375","O=C(CCl)Nc1c(O)[nH]c2ccccc2c1=O",252.65700000000004,"[H]Oc1c(N([H])C(=O)C([H])([H])Cl)c(=O)c2c([H])c([H])c([H])c([H])c2n1[H]"
2.009,"Y511-7185","Cc1cc(=O)[nH]c(SC(C)C(=O)Nc2ccccc2)n1",289.36,"[H]c1c([H])c([H])c(N([H])C(=O)C([H])(Sc2nc(C([H])([H])[H])c([H])c(=O)n2[H])C([H])([H])[H])c([H])c1[H]"
2.639,"2501-0940","COc1ccccc1NC(=O)C(C#N)=C1CCCC1",256.30499999999995,"[H]c1c([H])c([H])c(N([H])C(=O)C(C#N)=C2C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c(OC([H])([H])[H])c1[H]"
1.089,"P574-1415","CCc1cc(=O)n(CC(=O)Nc2ccc(F)cc2)c(=N)[nH]1",290.298,"[H]N=c1n([H])c(C([H])([H])C([H])([H])[H])c([H])c(=O)n1C([H])([H])C(=O)N([H])c1c([H])c([H])c(F)c([H])c1[H]"
1.375,"Y021-2637","CC1=Nc2ncnn2CC1C(=O)Nc1ccccc1",255.28100000000003,"[H]c1nc2n(n1)C([H])([H])C([H])(C(=O)N([H])c1c([H])c([H])c([H])c([H])c1[H])C(C([H])([H])[H])=N2"
2.512,"Y204-1452","Cc1ccc(NC(=O)C2CC2)c(NC(=O)C2CC2)c1",258.32099999999997,"[H]c1c([H])c(C([H])([H])[H])c([H])c(N([H])C(=O)C2([H])C([H])([H])C2([H])[H])c1N([H])C(=O)C1([H])C([H])([H])C1([H])[H]"
0.612,"3226-0937","CCC(=O)Nc1ccc(C(=O)O)cc1NC(=O)CC",264.28099999999995,"[H]OC(=O)c1c([H])c([H])c(N([H])C(=O)C([H])([H])C([H])([H])[H])c(N([H])C(=O)C([H])([H])C([H])([H])[H])c1[H]"
2.719,"8018-5851","CC(=CC(=O)O)C(=O)Nc1cccc(C(F)(F)F)c1",273.21,"[H]OC(=O)C([H])=C(C(=O)N([H])c1c([H])c([H])c([H])c(C(F)(F)F)c1[H])C([H])([H])[H]"
