"LogD","IDNUMBER","NEW_SMILES","AMW","SMILES_H"
-1.638,"F9995-1317","N=c1ncc(CCCO)c[nH]1",153.18500000000003,"[H]N=c1nc([H])c(C([H])([H])C([H])([H])C([H])([H])O[H])c([H])n1[H]"
1.571,"F2683-0098","CSc1[nH]c(=O)nc2c1CCC2",182.24799999999996,"[H]n1c(SC([H])([H])[H])c2c(nc1=O)C([H])([H])C([H])([H])C2([H])[H]"
-0.265,"F8882-9700","COCC(N)c1cccnc1",152.19699999999997,"[H]c1nc([H])c(C([H])(N([H])[H])C([H])([H])OC([H])([H])[H])c([H])c1[H]"
0.858,"F9995-2553","C1=CC2CCC(C1)N2",109.172,"[H]C1=C([H])C2([H])N([H])C([H])(C1([H])[H])C([H])([H])C2([H])[H]"
0.247,"F2167-1048","c1csc(OC2CNC2)n1",156.20999999999998,"[H]c1nc(OC2([H])C([H])([H])N([H])C2([H])[H])sc1[H]"
-0.351,"F1909-1629","Cc1cc(C)nc(CN)n1",137.186,"[H]c1c(C([H])([H])[H])nc(C([H])([H])N([H])[H])nc1C([H])([H])[H]"
1.626,"F8886-8261","NC1CCc2c(Cl)cc(F)cc21",185.629,"[H]c1c(F)c([H])c2c(c1Cl)C([H])([H])C([H])([H])C2([H])N([H])[H]"
1.712,"F1905-6554","OC1CCC2(CC1)CC2(F)F",162.17899999999997,"[H]OC1([H])C([H])([H])C([H])([H])C2(C([H])([H])C1([H])[H])C([H])([H])C2(F)F"
2.819,"F1905-8617","N#Cc1c(C(F)(F)F)nsc1Br",257.034,"N#Cc1c(C(F)(F)F)nsc1Br"
0.723,"F9995-0998","O=C1CC(=O)CC(c2ccccc2)C1",188.226,"[H]c1c([H])c([H])c(C2([H])C([H])([H])C(=O)C([H])([H])C(=O)C2([H])[H])c([H])c1[H]"
2.751,"F8885-2915","NCC(F)(F)c1ccc(Cl)cc1",191.608,"[H]c1c([H])c(C(F)(F)C([H])([H])N([H])[H])c([H])c([H])c1Cl"
0.939,"F2150-0053","N=c1s[nH]c2c1CCC2",140.21099999999998,"[H]N=c1sn([H])c2c1C([H])([H])C([H])([H])C2([H])[H]"
1.955,"F9995-0360","CC1=Nc2ccc(CCC(=O)O)cc2C1(C)C",231.29499999999996,"[H]OC(=O)C([H])([H])C([H])([H])c1c([H])c([H])c2c(c1[H])C(C([H])([H])[H])(C([H])([H])[H])C(C([H])([H])[H])=N2"
1.033,"F2167-7063","CSC1(CO)CCC1",132.22799999999998,"[H]OC([H])([H])C1(SC([H])([H])[H])C([H])([H])C([H])([H])C1([H])[H]"
2.735,"F2150-0050","CC(C)(C)c1coc(N)c1C#N",164.208,"[H]c1oc(N([H])[H])c(C#N)c1C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]"
0.959,"F1905-6474","NC(C1CC1)C(F)(F)F",139.12,"[H]N([H])C([H])(C(F)(F)F)C1([H])C([H])([H])C1([H])[H]"
-0.649,"F6667-3154","CN(C)C(=O)c1ccno1",140.14199999999997,"[H]c1noc(C(=O)N(C([H])([H])[H])C([H])([H])[H])c1[H]"
0.879,"F8889-5596","O=c1[nH]occ1Br",163.95799999999997,"[H]c1on([H])c(=O)c1Br"
0.763,"F1905-7319","O=S1(=O)NCc2ccccc21",169.205,"[H]c1c([H])c([H])c2c(c1[H])C([H])([H])N([H])S2(=O)=O"
2.215,"F1957-0373","Brc1cnc2cccnc2c1",209.04600000000002,"[H]c1nc2c([H])c(Br)c([H])nc2c([H])c1[H]"
-0.89,"F2189-0622","NCC1(CO)CC1",101.14899999999999,"[H]OC([H])([H])C1(C([H])([H])N([H])[H])C([H])([H])C1([H])[H]"
