"ID","NEW_SMILES","Vina_scores","LeDock_scores"
"CHEMBL4173626","CCc1ccc(-c2cc(=NC3CCN(C(C)C)CC3)c3cc(OC)c(OCCCN4CCCC4)cc3[nH]2)o1",-9.613,-7.76
"CHEMBL4212218","COc1cc2c(=NC3CCC34CCN(C)C4)cc(-c3ccc(C)o3)[nH]c2cc1OCCCN1CCCC1",-9.164,-8.88
"CHEMBL4217332","COc1cc2c(=NC3CCN(C)C(=O)C3)cc(-c3ccc(C)o3)[nH]c2cc1OCCCN1CCCC1",-8.824,-9.11
"CHEMBL4215377","Cc1ccc(-c2cc(=NC3CCN(C)CC3)c3cc(Cl)c(OCCCN4CCCC4)cc3[nH]2)o1",-9.099,-9.39
"CHEMBL1489","N=c1ncn(C2OC(CO)C(O)C2O)c(=O)[nH]1",-6.608,-6.22
"CHEMBL4854447","COc1cc2c(=NC3CCN(Cc4ccc(C(O)=NO)cc4)CC3)cc(-c3ccc(C)o3)[nH]c2cc1OCCCN1CCCC1",-9.382,-9.09
"CHEMBL4869419","COc1cc2[nH]c(-c3ccc(C)o3)cc(=NCC3CCN(Cc4ccc(C(O)=NO)s4)CC3)c2cc1OC",-9.586,-9.86
"CHEMBL2385821","Cc1cc(=Nc2cccc(NC(=O)c3ccc(N=c4cc[nH]c5ccccc45)cc3)c2)[nH]c(=N)[nH]1",-10.895,-9.76
"CHEMBL4170114","COc1cc2c(=NC3CCN(C)CC3)cc(-c3ccc(C)o3)[nH]c2cc1OCCCN1CCCC1",-9.297,-8.59
"CHEMBL4203655","COc1cc2c(=NC3CCN(C)CC3)cc(-c3ccc(C)o3)[nH]c2cc1OC1CCNCC1",-9.451,-8.67
"CHEMBL4162911","COc1cc2c(=NC3CCN(C4CC4)CC3)cc(-c3ccc(C)o3)[nH]c2cc1OCCCN1CCCC1",-9.99,-8.49
"CHEMBL4873711","COc1cc2c(=NCC3CCN(c4ccc(C(O)=NO)cc4)CC3)cc(-c3ccc(C)o3)[nH]c2cc1OCCCN1CCCC1",-9.705,-9.02
"CHEMBL4207526","CCc1ccc(-c2cc(=NC3CCN(C)CC3)c3cc(OC)c(OCCCN(C)C)cc3[nH]2)o1",-8.811,-8.57
"CHEMBL4212380","CCc1ccc(-c2cc(=NC3CCN(C)CC3)c3cc(OC)c(OCCCN4CCOCC4)cc3[nH]2)o1",-9.349,-8.22
"CHEMBL4208425","COc1cc2c(=NCC3CCN(C)CC3)cc(-c3ccc(C)o3)[nH]c2cc1OC1CC2(C1)CN(C)C2",-10.047,-8.79
"CHEMBL4173668","COc1cc2c(=NC3CCN(C)CC3)cc(C3=CCCCC3)[nH]c2cc1OCCCN1CCCC1",-9.001,-8.65
"CHEMBL4210910","COc1cc2c(=NC3CCN(C)CC3)cc(-c3ccc(C)o3)[nH]c2cc1OC1CC2(C1)CN(C1CC1)C2",-9.696,-8.46
"CHEMBL4159604","COc1cc2c(=NC3CCN(C)CC3)cc(C3CCCCC3)[nH]c2cc1OCCCN1CCCC1",-9.241,-8.32
"CHEMBL297453","O=C(OC1Cc2c(O)cc(O)cc2OC1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1",-10.441,-9.33
"CHEMBL4209267","COc1cc2c(=NC3C4CCC3CN(C)C4)cc(-c3ccc(C)o3)[nH]c2cc1OC1CC2(C1)CN(C)C2",-10.136,-9.58
"CHEMBL4850606","COc1cc2c(=NCC3CCC(C(O)=NO)CC3)cc(-c3ccc(C)o3)[nH]c2cc1OCCCN1CCCC1",-9.246,-9.07
"CHEMBL4874514","COc1cc2[nH]c(-c3ccc(C)o3)cc(=NCC3CCN(C4CC(C(O)=NO)C4)CC3)c2cc1OC",-9.79,-8.9
"CHEMBL4865830","COc1cc2c(=NCC3CCN(c4ncc(C(O)=NO)cn4)CC3)cc(C)[nH]c2cc1OCCCN1CCCC1",-8.743,-9.96
"CHEMBL4872782","COc1cc2c(=NCC3CCN(C4CCC(C(O)=NO)CC4)CC3)cc(-c3ccc(C)o3)[nH]c2cc1OCCCN1CCCC1",-9.7,-8.66
"CHEMBL4175132","COc1cc2c(=NC3CCN(C)CC3)cc(-c3ccccc3C)[nH]c2cc1OCCCN1CCCC1",-9.603,-9.15
"CHEMBL4203186","Cc1ccc(-c2cc(=NC3CCN(C)CC3)c3cc(C#N)c(OCCCN4CCCC4)cc3[nH]2)o1",-9.652,-9.42
"CHEMBL4162206","COc1cc2c(=NC3CCN(C(C)C)CC3)cc(C3CCCCC3)[nH]c2cc1OCCCN1CCCC1",-9.479,-8.28
"CHEMBL4159955","CCNCc1ccc(-c2cc(=NC3CCN(C)CC3)c3cc(OC)c(OCCCN4CCCC4)cc3[nH]2)o1",-8.534,-9.09
"CHEMBL4217747","COc1cc2c(=NCc3ccccc3)cc(-c3ccc(C)o3)[nH]c2cc1OCCCN1CCCC1",-9.24,-8.45
"CHEMBL4210432","Cc1ccc(-c2cc(=NC3CCN(C)CC3)c3cc(O)c(OCCCN4CCCC4)cc3[nH]2)o1",-9.107,-9.88
"CHEMBL3126651","O=C(Nc1ccc(N=c2cc[nH]c3ccccc23)cc1)c1ccc(N=c2cc[nH]c3ccccc23)cc1",-10.033,-7.94
"CHEMBL4855710","COc1cc2c(=NC3CCN(c4ccc(C(O)=NO)cc4)CC3)cc(-c3ccc(C)o3)[nH]c2cc1OCCCN1CCCC1",-9.488,-9.4
"CHEMBL4208522","COc1cc2c(=NC(C)(C)C3CCN(C)CC3)cc(-c3ccc(C)o3)[nH]c2cc1OCCCN1CCCC1",-9.158,-8.65
"CHEMBL4175084","COc1cc2c(=NC3CCN(C)CC3)cc(-c3ccc(CO)o3)[nH]c2cc1OCCCN1CCCC1",-8.982,-9.89
"CHEMBL4202651","COc1cc2[nH]c(-c3ccc(C)o3)cc(=NC3CCN(C)CC3)c2cc1OC",-8.876,-7.86
"CHEMBL4205107","COc1cc2c(=NCCO)cc(-c3ccc(C)o3)[nH]c2cc1OCCCN1CCCC1",-8.346,-8.62
"CHEMBL4872188","COc1cc2c(=NCc3ccc(C(O)=NO)cc3)cc(-c3ccc(C)o3)[nH]c2cc1OCCCN1CCCC1",-9.398,-9.45
"CHEMBL1328733","O=C1NC(=S)N(c2ccccc2)C(=O)C1=Cc1ccco1",-7.812,-6.47
"CHEMBL560106","N=c1[nH]c(Cl)nc2c1ncn2C1OC(CSC2CNC(C(=O)O)C2)C(O)C1O",-8.98,-8.32
"CHEMBL4207483","COc1cc2c(=NC3CCN(C)CC3)cc(-c3ccc(C)o3)[nH]c2cc1OCCCN1CCC(F)C1",-9.057,-8.8
"CHEMBL2336409","Cc1cc(=Nc2ccc(NC(=O)c3ccc(N=c4cc[nH]c5ccccc45)cc3)cc2)[nH]c(=N)[nH]1",-8.904,-8.26
"CHEMBL4163369","COc1cc2c(=NC3CCN(C)CC3)cc(C)[nH]c2cc1OCCCN1CCCC1",-8.527,-8.11
"CHEMBL4162967","COc1cc2c(=NC3CCN(C)CC3)cc(N3CCN(C)CC3)[nH]c2cc1OCCCN1CCCC1",-8.878,-9.32
"CHEMBL4177036","COc1cc2c(=NC3CCN(C)CC3)cc(C3=CCOCC3)[nH]c2cc1OCCCN1CCCC1",-9.133,-9.17
"CHEMBL4210955","Cc1ccc(-c2cc(=NC3CCN(C)CC3)c3ccc(OCCCN4CCCC4)cc3[nH]2)o1",-9.707,-9.4
"CHEMBL4173662","COc1cc2c(=NC3CCN(C)CC3)cc(-c3ccoc3)[nH]c2cc1OCCCN1CCCC1",-9.688,-9.09
"CHEMBL4161915","COc1cc2c(=NC3CCN(C)CC3)cc(-c3ccn(C)n3)[nH]c2cc1OCCCN1CCCC1",-9.234,-8.71
"CHEMBL1303509","O=C(O)c1ccccc1-c1ccc(C=c2sc3nc4cc(Br)cnc4n3c2=O)o1",-9.491,-6.53
"CHEMBL1988862","O=C1c2sccc2-c2cccc3cccc1c23",-7.302,-4.7
"CHEMBL4211622","COc1cc2c(=NC3CC3)cc(-c3ccc(C)o3)[nH]c2cc1OCCCN1CCCC1",-8.635,-8.27
"CHEMBL4174724","COc1cc2c(=NC3CCN(C)CC3)cc(-c3ccccc3)[nH]c2cc1OCCCN1CCCC1",-8.919,-9
"CHEMBL4166777","COc1cc2c(=NC3CCN(C)CC3)cc(-c3ccc(-c4ccccc4)o3)[nH]c2cc1OCCCN1CCCC1",-10.468,-9.53
"CHEMBL4212375","CNC(=O)CCN=c1cc(-c2ccc(C)o2)[nH]c2cc(OCCCN3CCCC3)c(OC)cc12",-9.123,-9.7
"CHEMBL4174677","COc1cc2c(=NC3CCN(C)CC3)cc(-c3cc4ccccc4o3)[nH]c2cc1OCCCN1CCCC1",-9.221,-9.47
"CHEMBL557902","N=c1[nH]cnc2c1ncn2C1OC(CSC2CNC(C(=O)O)C2)C(O)C1O",-8.641,-9.12
"CHEMBL4852593","COc1cc2c(=NCC3CCN(c4ncc(C(O)=NO)cn4)CC3)cc(-c3ccc(C)o3)[nH]c2cc1OCCCN1CCCC1",-9.217,-10.23
"CHEMBL4876993","COc1cc2c(=NCC3CCN(c4ncc(C(O)=NO)cn4)CC3)cc(-c3ccc(C)o3)[nH]c2cc1OCC1CCNCC1",-9.966,-10.32
"CHEMBL1373655","C=c1[nH]n(-c2cccc(C(=O)O)c2)c(=O)c1=CC=Cc1ccco1",-9.285,-5.8
"CHEMBL1789994","CC[N+](C)(CC)CCCCOc1ccc2c(c1)C(=O)c1cc(OCCCC[N+](C)(CC)CC)ccc1-2",-6.136,-5.83
"CHEMBL4162957","COc1cc2c(=NC3CCN(C)CC3)cc(-c3cc[nH]c(=O)c3)[nH]c2cc1OCCCN1CCCC1",-9.25,-10.29
"CHEMBL4167876","COc1cc2c(=NC3CCN(C)CC3)cc(-c3ccc(CN(C)C)o3)[nH]c2cc1OCCCN1CCCC1",-9.159,-9.09
"CHEMBL1231795","COc1cc2c(=NC3CCN(C(C)C)CC3)[nH]c(C3CCCCC3)nc2cc1OCCCN1CCCC1",-9.173,-8.32
"CHEMBL1321933","O=C(N=c1[nH]nc(-c2ccncc2)s1)Nc1ccc(Cl)c(Cl)c1",-8.52,-8.22
"CHEMBL4217087","COc1cc2c(N(C)C3CCN(C)CC3)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1",-9.581,-8.41
"CHEMBL1704614","O=C1C(=O)c2c(ccc3ccccc23)-c2ccccc21",-8.406,-5
"CHEMBL4166410","COc1cc2c(=NC3CCN(C)CC3)cc(C3CCC(C)O3)[nH]c2cc1OCCCN1CCCC1",-8.983,-8.71
"CHEMBL4164497","COc1cc2c(=NC3CCN(C)CC3)cc(-c3cccnc3)[nH]c2cc1OCCCN1CCCC1",-8.617,-9.47
"CHEMBL1464280","C=C(C)C(=O)Nc1cccc(C2=NOC3(C2)CC(C(N)=O)N(C(=O)C2(C)CC2)C3)c1",-9.158,-7.39
"CHEMBL4850038","COc1cc2c(=NCc3ccc(C4CCC(C(O)=NO)CC4)cc3)cc(-c3ccc(C)o3)[nH]c2cc1OCCCN1CCCC1",-9.884,-8.73
"CHEMBL552309","N=c1[nH]cnc2c1ccn2C1OC(CSCCC(N)C(=O)O)C(O)C1O",-8.167,-9.21
"CHEMBL4164446","COc1cc2c(=NC3CCN(C)CC3)cc(-c3ccc(C#N)o3)[nH]c2cc1OCCCN1CCCC1",-9.458,-10.02
"CHEMBL318782","O=C1C(Cl)=C(Cl)C(=O)c2ccccc21",-6.637,-4.61
"CHEMBL1403497","O=c1cc(O)[nH]c(=O)n1Cc1ccco1",-6.427,-5.63
"CHEMBL4876823","COc1cc2[nH]c(-c3ccc(C)o3)cc(=NCC3C4CCC3CN(c3ncc(C(O)=NO)cn3)C4)c2cc1OC",-9.051,-10.47
"CHEMBL4216799","COc1cc2c(=NC3CCCC3)cc(-c3ccc(C)o3)[nH]c2cc1OCCCN1CCCC1",-8.814,-8.27
"CHEMBL1890961","O=C1C=C(N2CC2)c2ccccc2C1=O",-7.493,-5.15
"CHEMBL4206071","COc1cc2c(OC3CCN(C)CC3)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1",-8.559,-8.07
"CHEMBL2349526","N=c1[nH]cnc2c1c(Br)cn2C1OC(CSCCC(N)C(=O)O)C(O)C1O",-8.231,-9.79
"CHEMBL1579066","Oc1cccc2cc3cccc(O)c3c(O)c12",-7.616,-4.89
"CHEMBL1360585","C=C(C)C(=O)Nc1cccc(C2=NOC3(C2)CC(C(N)=O)N(C(=O)C(C)=CC)C3)c1",-9.102,-7.16
"CHEMBL4878570","ON=C(O)C1CCN(CC(O)COC(Cn2c3ccccc3c3ccccc32)Cn2c3ccccc3c3ccccc32)CC1",-10.175,-8.51
"CHEMBL4863011","COc1cc2c(=NC3CCN(c4ncc(C(O)=NO)cn4)CC3)cc(C)[nH]c2cc1OCCCN1CCCC1",-9.146,-9.53
"CHEMBL4214834","Cc1ccc(-c2cc(=NC3CCN(C)CC3)c3cc(OC(F)(F)F)c(OCCCN4CCCC4)cc3[nH]2)o1",-9.366,-9
"CHEMBL1360321","CN1C(=O)NC(=O)C(=Cc2ccc([N+](=O)[O-])o2)C1=O",-8.081,-6.92
"CHEMBL4856110","COc1cc2[nH]c(-c3ccc(C)o3)cc(=NCC3CCN(c4ncc(C(O)=NO)cn4)CC3)c2cc1OC",-8.884,-9.16
"CHEMBL3126652","Cc1cc(=Nc2ccc(NC(=O)c3ccc(N=c4cc(C)[nH]c(=N)[nH]4)cc3)cc2)[nH]c(=N)[nH]1",-8.38,-8.79
"CHEMBL4170228","COc1cc2c(=NC3CCN(C)CC3)[nH]c(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1",-9.131,-9.07
"CHEMBL4171275","COc1cc(=NC2CCN(C)CC2)c2cc(OC)c(OCCCN3CCCC3)cc2[nH]1",-8.161,-8.15
"CHEMBL1981446","O=C(NN=Cc1cn(Cc2cccc(F)c2)c2ccccc12)c1cc(O)cc(O)c1",-10.319,-8.65
"CHEMBL559283","O=C(O)C1CC(SCC2OC(n3cnc4c(=NCCc5ccc(-c6ccccc6)cc5)[nH]c(Cl)nc43)C(O)C2O)CN1",-10.228,-9.62
"CHEMBL538692","N=c1[nH]c(F)nc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O",-8.332,-9.44
"CHEMBL4866673","COc1cc2c(=NCc3ccc(-c4ccc(C(O)=NO)cc4)cc3)cc(-c3ccc(C)o3)[nH]c2cc1OCCCN1CCCC1",-9.321,-8.95
"CHEMBL4855461","COc1cc2[nH]c(-c3ccc(C)o3)cc(=NC3CCC(C(O)=NO)CC3)c2cc1OC",-9.646,-8.44
"CHEMBL4849689","COc1cc2c(=NCC3CCC(c4ccc(C(O)=NO)cc4)CC3)cc(-c3ccc(C)o3)[nH]c2cc1OCCCN1CCCC1",-9.455,-8.83
"CHEMBL1539325","CC1(C)CCCN(C(=O)c2coc(=O)c(Br)c2)C1",-7.289,-5.28
"CHEMBL564768","N=c1[nH]c(Cl)nc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O",-7.668,-8.6
"CHEMBL1603637","COc1ccc(C=c2c(=CSc3ccc(Cl)cc3)[nH]n(-c3nc4ccccc4s3)c2=O)cc1",-9.935,-8.05
"CHEMBL1566994","COc1cc(=NS(=O)(=O)c2ccc(NC(=S)NC(=O)C=Cc3ccco3)cc2)[nH]cn1",-8.866,-7.67
"CHEMBL4862781","COc1cc2[nH]c(-c3ccc(C)o3)cc(=NCC3CCC(C(O)=NO)CC3)c2cc1OC",-9.609,-8.04
"CHEMBL4454542","COc1cc2c(cc1OCCCN1CCCC1)=NC(C1CCCCC1)C=NC=2NC1CCN(C(C)C)CC1",-9.091,-8.25
"CHEMBL1464200","Nc1cc(S(=O)(=O)O)cc([N+](=O)[O-])c1O",-7.14,-5.84
"CHEMBL1301673","C=C(C)C(=O)Nc1cccc(C2=NOC3(C2)CC(C(N)=O)N(C(=O)C=CC=CC)C3)c1",-8.852,-8.18
"CHEMBL1543134","O=C(C=Cc1ccco1)N=CC(=O)NNc1c(O)[nH]c2ccccc12",-9.832,-8.43
"CHEMBL1511981","CSc1ccc(C=NNc2ccc(S(=O)(=O)Nc3ccccc3C(=O)O)cc2[N+](=O)[O-])cc1",-8.781,-8.28
"CHEMBL1361920","C=c1c(=Cc2c(O)[nH]c(=O)n(Cc3ccccc3)c2=O)cc(C)n1-c1ccc(Cl)c(C(=O)O)c1",-9.548,-7.19
"CHEMBL1469245","COC(=O)c1c(NC(=O)COC(=O)c2ccc(NC(=O)CC#N)cc2)sc2c1CCCCC2",-8.153,-8.28
"CHEMBL1995706","COc1ccc(Br)cc1C=NNc1ccc(S(=O)(=O)Nc2ccccc2C(=O)O)cc1[N+](=O)[O-]",-9.218,-7.66
"CHEMBL1421172","CCCCN1C(=O)C(=CC=Cc2ccco2)C(=O)NC1=S",-7.2,-6.38
"CHEMBL1408747","O=C(O)c1ccc(-n2cccc2C=C2SC(=O)N(CC(=O)N3CCCC3)C2=O)cc1",-10.263,-7.63
"CHEMBL1729254","COc1cc(CCc2ccccc2)c(C(=O)O)c(O)c1CC=C(C)CCC=C(C)C",-8.166,-6.96
"CHEMBL1423709","Cn1cccc1C=C1C(=O)NC(=S)N(Cc2ccc(F)cc2)C1=O",-7.736,-7.24
"CHEMBL1533230","CC(C)(CS(=O)(=O)[O-])NC(=O)CC[N+](C)(C)CCO",-6.109,-6.04
"CHEMBL1373095","O=C(Nc1cccc(S(=O)(=O)N=C2CCCN2)c1)c1cc(-c2ccco2)nc2ccccc12",-10.093,-8.39
"CHEMBL555257","O=C(O)C1CC(SCC2OC(n3cnc4c(=NCCc5ccc(-c6ccccc6)cc5)[nH]cnc43)C(O)C2O)CN1",-10.675,-9.38
"CHEMBL1358848","O=C(c1ccc(=O)oc1)N1CCOCC1",-6.869,-4.14
"CHEMBL1501577","COC(=O)c1ccccc1NC(=O)CCS(=O)(=O)c1ccc(Br)cc1",-8.088,-7.28
"CHEMBL1510676","Cc1ccc(C2C(C=C3SC(=S)NC3=O)=C(c3cccs3)Oc3ccccc32)cc1",-8.819,-6.88
"CHEMBL1444349","O=C1NC(=S)N=C1Cc1cc2c(cc1[N+](=O)[O-])OCO2",-7.508,-7.48
"CHEMBL1315784","O=S(=O)(c1cc(O)ccc1O)c1cccc2c(S(=O)(=O)c3cc(O)ccc3O)cccc12",-9.373,-8.31
"CHEMBL1561729","O=C(O)c1ccc(-n2cccc2CC2=NC(=O)N(c3ccccc3)C2=O)cc1",-9.667,-6.51
"CHEMBL1981657","N=C(NN=Cc1ccc(-c2ccc(O)c(C(=O)O)c2)o1)N[N+](=O)[O-]",-9.366,-9.69
"CHEMBL3414630","CCN(CC)CCNC(=O)c1ccc(NCCCCCCCCCCCCN2C(=O)c3ccccc3C2=O)cc1",-7.384,-8.05
"CHEMBL551578","COC(=O)C1CC(SCC2OC(n3cnc4c(=N)[nH]cnc43)C(O)C2O)CN1",-8.1,-8.62
"CHEMBL1429479","Cc1ccc(N2C(=O)NC(=O)C(=Cc3ccoc3)C2=O)cc1",-8.712,-5.56
"CHEMBL3126645","Cc1cc(=Nc2ccc(NC(=O)c3cccc(N=c4cc[nH]c5ccccc45)c3)cc2)[nH]c(=N)[nH]1",-10.802,-9.02
"CHEMBL1303651","O=C(O)C(c1ccccc1)N1C(=O)C(=Cc2ccc(-c3ccc(Br)cc3)o2)SC1=S",-8.514,-7.08
"CHEMBL1445488","CCOC(=O)c1sc2nc3c(SCC(=O)O)cc(C(=O)c4ccccc4O)cn3c(=O)c2c1C",-8.798,-7.94
"CHEMBL1485960","CCOc1cccc(N2C(=O)C(=Cc3ccco3)C(=O)NC2=S)c1",-7.595,-6.73
"CHEMBL1558192","O=C(O)C(c1ccccc1)N1C(=O)C(=Cc2ccc(-c3ccccc3Cl)o2)SC1=S",-8.672,-7.57
"CHEMBL1972915","Cc1nn(-c2ccccc2)c(Cl)c1C=NNc1ccc(S(=O)(=O)Nc2ccccc2C(=O)O)cc1[N+](=O)[O-]",-9.633,-8.24
"CHEMBL1482590","C=C(C)C(=O)Nc1cccc(C2=NOC3(C2)CC(C(N)=O)N(C(=O)CC)C3)c1",-8.745,-7.78
"CHEMBL1433062","COc1ccc(OC)c(-n2c(O)c3onc(-c4ccccc4Cl)c3c2O)c1",-9.054,-7.21
"CHEMBL1456035","O=C(O)C1Nc2c(Cl)cc(Cl)c(Cl)c2C2C=CCC12",-7.652,-5.58
"CHEMBL4167925","COc1cc2c(=NC3CCN(C)CC3)cc(C3CCOCC3)[nH]c2cc1OCCCN1CCCC1",-9.432,-8.87
"CHEMBL1412087","CCOc1cc(C=C2C(=O)N(c3nc(-c4ccc(Br)cc4)cs3)N=C2c2ccccc2)ccc1O",-10.332,-9.38
"CHEMBL2007178","O=C(O)c1ccc(-n2cccc2C=NNC(=O)c2cc3cc(Br)ccc3o2)cc1",-9.005,-7.13
"CHEMBL1397359","COc1ccc(C(=O)OCC(=O)N=c2[nH]cc([N+](=O)[O-])s2)cc1OC",-8.08,-8.35
"CHEMBL2005181","Cc1cc(C)c2nc3sc(=Cc4ccc(-c5ccccc5C(=O)O)o4)c(=O)n3c2c1",-9.322,-6.38
"CHEMBL1439640","COc1ccc(Cc2n[nH]c(=NC(=O)Cc3cccs3)s2)cc1",-7.702,-8.15
"CHEMBL551167","COC(=O)C1CC(SCC2OC(n3cnc4c(=N)[nH]cnc43)C(O)C2O)CN1C",-8.095,-8.64
