SCAFFOLD,AMOUNT,FREQUENCY,DATABASE,DNMT1,LigBuilder,AlvaBuilder
O=C1NC(=S)SC1=Cc1cn(-c2ccccc2)nc1-c1ccccc1,3,0.403768506,DNMT1,DNMT1 = 3 (0.40%),denovoLig = missing,denovoAlva = missing
O=C(Nc1ccc(Nc2cc[nH+]cc2)cc1)c1ccc(N=c2cc[nH]c3ccccc23)cc1,3,0.403768506,DNMT1,DNMT1 = 3 (0.40%),denovoLig = missing,denovoAlva = missing
O=C1c2ccccc2C(=O)N1CCc1c[nH]c2ccccc12,3,0.403768506,DNMT1,DNMT1 = 3 (0.40%),denovoLig = missing,denovoAlva = missing
N=C(Cc1c[nH]c2ccccc12)C(=O)NCCSSCCNC(=O)C(=N)Cc1c[nH]c2ccccc12,3,0.403768506,DNMT1,DNMT1 = 3 (0.40%),denovoLig = missing,denovoAlva = missing
c1ccc(CCCN=c2[nH]cnc3cc(OCC4CCN(CCN=c5cc[nH]cc5)CC4)ccc23)cc1,2,0.269179004,DNMT1,DNMT1 = 2 (0.27%),denovoLig = missing,denovoAlva = missing
O=C(CCS(=O)(=O)c1ccccc1)Nc1ccccc1,2,0.269179004,DNMT1,DNMT1 = 2 (0.27%),denovoLig = missing,denovoAlva = missing
c1ccc(CN2CCC(N=c3nc(N4CCN(c5ccccc5)CC4)[nH]c4ccccc34)CC2)cc1,2,0.269179004,DNMT1,DNMT1 = 2 (0.27%),denovoLig = missing,denovoAlva = missing
c1cc2c(=NC3CCNCC3)cc(C3CCCCC3)[nH]c2cc1OCCCN1CCCC1,2,0.269179004,DNMT1,DNMT1 = 2 (0.27%),denovoLig = missing,denovoAlva = missing
c1ccc(CN=c2cc(-c3ccco3)[nH]c3cc(OCCCN4CCCC4)ccc23)cc1,2,0.269179004,DNMT1,DNMT1 = 2 (0.27%),denovoLig = missing,denovoAlva = missing
O=C(CN1C(=O)N=C(Cc2cccn2-c2ccccc2)C1=O)Nc1ccccc1,2,0.269179004,DNMT1,DNMT1 = 2 (0.27%),denovoLig = missing,denovoAlva = missing
c1ccc(COc2ccc3c(=NC4CCN(Cc5ccccc5)CC4)[nH]c(N4CCN(c5ccccc5)CC4)nc3c2)cc1,2,0.269179004,DNMT1,DNMT1 = 2 (0.27%),denovoLig = missing,denovoAlva = missing
O=C1C(=Cc2ccc(-c3ccccc3)o2)SC(=S)N1Cc1ccccc1,2,0.269179004,DNMT1,DNMT1 = 2 (0.27%),denovoLig = missing,denovoAlva = missing
O=C1C=CC(=O)N1CCc1c[nH]c2ccccc12,2,0.269179004,DNMT1,DNMT1 = 2 (0.27%),denovoLig = missing,denovoAlva = missing
O=C(CNC(=O)c1cccc(-n2cccc2)c1)Nc1ccccc1,2,0.269179004,DNMT1,DNMT1 = 2 (0.27%),denovoLig = missing,denovoAlva = missing
c1coc(-c2cc(=NC3CCC34CCNCC4)c3ccc(OCCCN4CCCC4)cc3[nH]2)c1,2,0.269179004,DNMT1,DNMT1 = 2 (0.27%),denovoLig = missing,denovoAlva = missing
N=c1ncn(C2CCCO2)c(=O)[nH]1,2,0.269179004,DNMT1,DNMT1 = 2 (0.27%),denovoLig = missing,denovoAlva = missing
N=c1cc(-c2ccco2)[nH]c2cc(OCCCN3CCCC3)ccc12,2,0.269179004,DNMT1,DNMT1 = 2 (0.27%),denovoLig = missing,denovoAlva = missing
c1coc(-c2cc(=NC3CC4(CCNCC4)C3)c3ccc(OCCCN4CCCC4)cc3[nH]2)c1,2,0.269179004,DNMT1,DNMT1 = 2 (0.27%),denovoLig = missing,denovoAlva = missing
N=c1[nH]cnc2cc(OCC3CCN(CCN=c4cc[nH]c5ccccc45)CC3)ccc12,2,0.269179004,DNMT1,DNMT1 = 2 (0.27%),denovoLig = missing,denovoAlva = missing
O=C(c1cc(-c2ccco2)nc2ccccc12)N1CCCCC1,2,0.269179004,DNMT1,DNMT1 = 2 (0.27%),denovoLig = missing,denovoAlva = missing
c1ccc(-c2cc(=NC3CCNCC3)c3ccc(OCCCN4CCCC4)cc3[nH]2)cc1,2,0.269179004,DNMT1,DNMT1 = 2 (0.27%),denovoLig = missing,denovoAlva = missing
c1coc(-c2cc(=NC3CC4(CCNCC4)C3)c3ccc(OC4CC5(CNC5)C4)cc3[nH]2)c1,2,0.269179004,DNMT1,DNMT1 = 2 (0.27%),denovoLig = missing,denovoAlva = missing
